idTable_E;nameIndicator;year2018;year2019;year2020;year2021;year2022;medialValueRF;medialSubject;medialDepartment
11;E.1. Образовательная деятельность. (Средний балл ЕГЭ студентов, принятых по результатам ЕГЭ на обучение по очной форме по программам бакалавриата и специалитета за счет средств соответствующих бюджетов бюджетной системы Российской Федерации и с оплатой стоимости затрат на обучение физическими и юридическими лицами);66,67;68,72;68,26;70,24;70,75;63,62;72,77;64,57
12;E.1. Образовательная деятельность. (Средний балл ЕГЭ студентов, принятых по результатам ЕГЭ на обучение по очной форме по программам бакалавриата и специалитета за счет средств соответствующих бюджетов бюджетной системы Российской Федерации и с оплатой стоимости затрат на обучение физическими и юридическими лицами);57,45;59,55;61,84;58,54;57,91;63,62;72,77;57,91
13;E.1. Образовательная деятельность. (Средний балл ЕГЭ студентов, принятых по результатам ЕГЭ на обучение по очной форме по программам бакалавриата и специалитета за счет средств соответствующих бюджетов бюджетной системы Российской Федерации и с оплатой стоимости затрат на обучение физическими и юридическими лицами);70,08;70,04;70,18;70,02;68,46;63,62;72,77;54,89
14;E.1. Образовательная деятельность. (Средний балл ЕГЭ студентов, принятых по результатам ЕГЭ на обучение по очной форме по программам бакалавриата и специалитета за счет средств соответствующих бюджетов бюджетной системы Российской Федерации и с оплатой стоимости затрат на обучение физическими и юридическими лицами);71;72,25;75,69;76,77;78,82;63,62;72,77;64,57
15;E.1. Образовательная деятельность. (Средний балл ЕГЭ студентов, принятых по результатам ЕГЭ на обучение по очной форме по программам бакалавриата и специалитета за счет средств соответствующих бюджетов бюджетной системы Российской Федерации и с оплатой стоимости затрат на обучение физическими и юридическими лицами);58,73;59,61;62,06;64,69;63,96;63,62;72,77;64,57
16;E.1. Образовательная деятельность. (Средний балл ЕГЭ студентов, принятых по результатам ЕГЭ на обучение по очной форме по программам бакалавриата и специалитета за счет средств соответствующих бюджетов бюджетной системы Российской Федерации и с оплатой стоимости затрат на обучение физическими и юридическими лицами);73,74;68,7;78,29;79,53;79,3;63,62;72,77;64,57
17;E.1. Образовательная деятельность. (Средний балл ЕГЭ студентов, принятых по результатам ЕГЭ на обучение по очной форме по программам бакалавриата и специалитета за счет средств соответствующих бюджетов бюджетной системы Российской Федерации и с оплатой стоимости затрат на обучение физическими и юридическими лицами);66,82;68,74;70,97;71,75;69,74;63,62;72,77;64,57
18;E.1. Образовательная деятельность. (Средний балл ЕГЭ студентов, принятых по результатам ЕГЭ на обучение по очной форме по программам бакалавриата и специалитета за счет средств соответствующих бюджетов бюджетной системы Российской Федерации и с оплатой стоимости затрат на обучение физическими и юридическими лицами);67,36;67,23;69,21;70,95;70,99;63,62;72,77;64,57
19;E.1. Образовательная деятельность. (Средний балл ЕГЭ студентов, принятых по результатам ЕГЭ на обучение по очной форме по программам бакалавриата и специалитета за счет средств соответствующих бюджетов бюджетной системы Российской Федерации и с оплатой стоимости затрат на обучение физическими и юридическими лицами);60,99;63,47;65,64;66,4;66,74;63,62;72,77;54,89
20;E.1. Образовательная деятельность. (Средний балл ЕГЭ студентов, принятых по результатам ЕГЭ на обучение по очной форме по программам бакалавриата и специалитета за счет средств соответствующих бюджетов бюджетной системы Российской Федерации и с оплатой стоимости затрат на обучение физическими и юридическими лицами);65,84;69,89;72,61;74,68;76,13;63,62;72,77;64,57
21;E.1. Образовательная деятельность. (Средний балл ЕГЭ студентов, принятых по результатам ЕГЭ на обучение по очной форме по программам бакалавриата и специалитета за счет средств соответствующих бюджетов бюджетной системы Российской Федерации и с оплатой стоимости затрат на обучение физическими и юридическими лицами);75,53;76,29;78,92;79,23;77,84;63,62;72,77;64,57
22;E.1. Образовательная деятельность. (Средний балл ЕГЭ студентов, принятых по результатам ЕГЭ на обучение по очной форме по программам бакалавриата и специалитета за счет средств соответствующих бюджетов бюджетной системы Российской Федерации и с оплатой стоимости затрат на обучение физическими и юридическими лицами);67,24;68,32;68,79;70,23;73,11;63,62;72,77;64,57
23;E.1. Образовательная деятельность. (Средний балл ЕГЭ студентов, принятых по результатам ЕГЭ на обучение по очной форме по программам бакалавриата и специалитета за счет средств соответствующих бюджетов бюджетной системы Российской Федерации и с оплатой стоимости затрат на обучение физическими и юридическими лицами);60,94;62,91;66,52;65,04;64,91;63,62;72,77;64,91
24;E.1. Образовательная деятельность. (Средний балл ЕГЭ студентов, принятых по результатам ЕГЭ на обучение по очной форме по программам бакалавриата и специалитета за счет средств соответствующих бюджетов бюджетной системы Российской Федерации и с оплатой стоимости затрат на обучение физическими и юридическими лицами);77,78;79,07;83,5;80,37;79,79;63,62;72,77;64,57
25;E.1. Образовательная деятельность. (Средний балл ЕГЭ студентов, принятых по результатам ЕГЭ на обучение по очной форме по программам бакалавриата и специалитета за счет средств соответствующих бюджетов бюджетной системы Российской Федерации и с оплатой стоимости затрат на обучение физическими и юридическими лицами);62,57;64,95;68,28;71,07;69,51;63,62;72,77;64,57
26;E.1. Образовательная деятельность. (Средний балл ЕГЭ студентов, принятых по результатам ЕГЭ на обучение по очной форме по программам бакалавриата и специалитета за счет средств соответствующих бюджетов бюджетной системы Российской Федерации и с оплатой стоимости затрат на обучение физическими и юридическими лицами);58,46;66,01;69,39;73,3;74,2;63,62;72,77;64,57
27;E.1. Образовательная деятельность. (Средний балл ЕГЭ студентов, принятых по результатам ЕГЭ на обучение по очной форме по программам бакалавриата и специалитета за счет средств соответствующих бюджетов бюджетной системы Российской Федерации и с оплатой стоимости затрат на обучение физическими и юридическими лицами);74,67;73,43;77,31;80,05;80,58;63,62;72,77;64,57
28;E.1. Образовательная деятельность. (Средний балл ЕГЭ студентов, принятых по результатам ЕГЭ на обучение по очной форме по программам бакалавриата и специалитета за счет средств соответствующих бюджетов бюджетной системы Российской Федерации и с оплатой стоимости затрат на обучение физическими и юридическими лицами);69,71;70,35;72,41;70,88;70,33;63,62;72,77;64,57
29;E.1. Образовательная деятельность. (Средний балл ЕГЭ студентов, принятых по результатам ЕГЭ на обучение по очной форме по программам бакалавриата и специалитета за счет средств соответствующих бюджетов бюджетной системы Российской Федерации и с оплатой стоимости затрат на обучение физическими и юридическими лицами);60,57;62,45;65,29;65,57;64,87;63,62;72,77;64,57
